,negative,neutral,positive,volume,close
132,0.0,0.0,1.0,0.15576118601999062,0.1519676248953391
133,1.0,0.0,0.0,0.15576118601999062,0.1519676248953391
134,0.0,0.0,1.0,0.15576118601999062,0.1519676248953391
135,0.0,0.0,1.0,0.15576118601999062,0.1519676248953391
136,0.0,1.0,0.0,0.15576118601999062,0.1519676248953391
137,1.0,0.0,0.0,0.15576118601999062,0.1519676248953391
138,1.0,0.0,0.0,0.15576118601999062,0.1519676248953391
139,0.0,0.0,1.0,0.15576118601999062,0.1519676248953391
140,0.0,0.0,1.0,0.15576118601999062,0.1519676248953391
141,0.0,0.0,1.0,0.15576118601999062,0.1519676248953391
142,0.0,0.0,1.0,0.15576118601999062,0.1519676248953391
143,0.0,0.0,1.0,0.15576118601999062,0.1519676248953391
144,1.0,0.0,0.0,0.15576118601999062,0.1519676248953391
145,0.0,1.0,0.0,0.15576118601999062,0.1519676248953391
146,0.0,0.0,1.0,0.15576118601999062,0.1519676248953391
147,0.0,0.0,1.0,0.15576118601999062,0.1519676248953391
148,1.0,0.0,0.0,0.15576118601999062,0.1519676248953391
149,0.0,1.0,0.0,0.15576118601999062,0.1519676248953391
150,0.0,0.0,1.0,0.15576118601999062,0.1519676248953391
151,1.0,0.0,0.0,0.15576118601999062,0.1519676248953391
152,0.0,0.0,1.0,0.15576118601999062,0.1519676248953391
153,0.0,1.0,0.0,0.15576118601999062,0.1519676248953391
154,1.0,0.0,0.0,0.15576118601999062,0.1519676248953391
155,0.0,0.0,1.0,0.15576118601999062,0.1519676248953391
156,1.0,0.0,0.0,0.15576118601999062,0.1519676248953391
157,1.0,0.0,0.0,0.15576118601999062,0.1519676248953391
158,0.0,0.0,1.0,0.15576118601999062,0.1519676248953391
159,0.0,0.0,1.0,0.15576118601999062,0.1519676248953391
160,0.0,0.0,1.0,0.15576118601999062,0.1519676248953391
161,1.0,0.0,0.0,0.15576118601999062,0.1519676248953391
162,1.0,0.0,0.0,0.15576118601999062,0.1519676248953391
163,0.0,0.0,1.0,0.15576118601999062,0.1519676248953391
164,1.0,0.0,0.0,0.15576118601999062,0.1519676248953391
165,1.0,0.0,0.0,0.15576118601999062,0.1519676248953391
166,1.0,0.0,0.0,0.15576118601999062,0.1519676248953391
167,0.0,0.0,1.0,0.15576118601999062,0.1519676248953391
168,0.0,0.0,1.0,0.15576118601999062,0.1519676248953391
